name	equivalent_to	description
Global Primary Energy Demand	12717 Mtoe 	Source: <a href='http://www.iea.org/publications/freepublications/publication/kwes.pdf'>IEA Key World Energy Statistics 2012</a>
UK Primary Energy Demand (2014)	198700 ktoe	Source:  <a href='https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/449102/ECUK_Chapter_1_-_Overall_factsheet.pdf'>Energy Consumption in the UK (2015)</a>
UK land area	22972000 hectares	"Source: <a href='http://www.google.co.uk/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0CC8QFjAA&url=http%3A%2F%2Fwww.ons.gov.uk%2Fons%2Fguide-method%2Fuser-guidance%2Fwell-being%2Fpublications%2Fland-use-in-the-uk.pdf&ei=nYAGU_zpJpDI0AWyrIDABA&usg=AFQjCNEX3J_lteBlLKf3A6FvARwtHqX3sg&sig2=Xa6vnk7wm3GZ6shPogC5Lg&bvm=bv.61725948,d.d2k&cad=rja'>ONS</a>"
Global Greenhouse Gas Emissions	49 GtCO2e	"Source: <a href='http://www.unep.org/pdf/2012gapreport.pdf'>The UNEP Emissions Gap Report 2012, figures for 2010</a>"
UK Greenhouse Gas Emissions (2015)	497.2 MtCO2e	Source: <a href='https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/511684/20160331_2015_Provisional_Emissions_Statistics.pdf'>UK Greenhouse gas inventory 2015 provisional</a>
Global electricity generating capacity	5331.045e6 kW	Source: <a href='http://www.eia.gov/cfapps/ipdbproject/IEDIndex3.cfm?tid=2&pid=2&aid=7'>US Energy Information Administration 2011 figures</a>
UK electricity generating capacity	89241 MW	Source: <a href='https://www.gov.uk/government/publications/digest-of-united-kingdom-energy-statistics-dukes-2013-printed-version-excluding-cover-pages'>DUKES 2013 capacity end December 2012</a>
UK minimum electricity demand (summer night 2012)	21461.102 MW	"Source: <a href='http://www2.nationalgrid.com/WorkArea/DownloadAsset.aspx?id=28567'>National Grid IO14_TGSD1 July 2012 period 11</a>"""
2012 Golf GTI peak power output	200 hp	Source: <a href='http://www.vw.com/en/models/gti/trims-specs.html'>Volkswagen</a>
2012 Golf GTI weight	1500 kg	Source: <a href='https://en.wikipedia.org/wiki/Volkswagen_Golf_Mk5'>https://en.wikipedia.org/wiki/Volkswagen_Golf_Mk5</a>
UK domestic house annual energy use (2014)	18000 kWh	Source: <a href='https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/449134/ECUK_Chapter_3_-_Domestic_factsheet.pdf'>https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/449134/ECUK_Chapter_3_-_Domestic_factsheet.pdf</a>
